artist,song,acousticness,speechiness,danceability
Outkast,The Whole World (feat. Killer Mike),0.0958,0.401,0.814
P!nk,Don't Let Me Get Me - Radio Edit,0.00234,0.0756,0.624
50 Cent,In Da Club,0.255,0.366,0.899
Sean Paul,Get Busy,0.615,0.036,0.735
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",0.00921,0.264,0.686
Beyoncé,Crazy In Love (feat. Jay-Z),0.00249,0.226,0.646
Counting Crows,Big Yellow Taxi,0.00204,0.0494,0.669
Black Eyed Peas,Where Is The Love?,0.101,0.184,0.835
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,0.00733,0.188,0.845
Black Eyed Peas,Shut Up,0.0637,0.243,0.81
t.A.T.u.,All The Things She Said,0.0411,0.0474,0.527
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,0.163,0.104,0.793
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.0142,0.306,0.648
Panjabi MC,Mundian to Bach Ke,0.399,0.0371,0.778
Mis-Teeq,Scandalous - U.S. Radio Edit,0.0526,0.0349,0.734
JAY-Z,03' Bonnie & Clyde,0.23,0.314,0.759
50 Cent,P.I.M.P.,0.0521,0.346,0.712
Jamelia,Superstar,0.0457,0.0356,0.801
Linkin Park,Faint,0.111,0.131,0.554
DMX,X Gon' Give It To Ya,0.0135,0.183,0.761
Evanescence,Bring Me To Life,0.00721,0.0698,0.331
Sugababes,Hole In The Head,0.0303,0.0309,0.785
Craig David,Rise & Fall (feat. Sting),0.252,0.0586,0.405
Three Days Grace,I Hate Everything About You,0.00461,0.0421,0.498
Lil Jon & The East Side Boyz,Get Low,0.022,0.0396,0.78
B2K,"Bump, Bump, Bump (feat. P. Diddy)",0.1,0.21,0.835
Baby Bash,Suga Suga,0.688,0.268,0.662
Aaliyah,Miss You - Main,0.618,0.0375,0.602
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,0.32,0.089,0.804
Blue,Sorry Seems To Be The Hardest Word,0.183,0.0305,0.564
Delta Goodrem,Lost Without You,0.0365,0.0283,0.581
Justin Timberlake,Rock Your Body,0.201,0.141,0.892
The White Stripes,Seven Nation Army,0.00601,0.0805,0.741
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,0.0149,0.307,0.772
Beyoncé,Baby Boy (feat. Sean Paul),0.0825,0.22,0.655
Lil' Kim,Magic Stick,0.116,0.272,0.849
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),0.0326,0.192,0.859
Nickelback,Someday,0.000616,0.0391,0.455
Blue,U Make Me Wanna - Radio Edit,0.325,0.0329,0.6
Ashanti,Rain On Me,0.343,0.0337,0.606
Trapt,Headstrong,0.000172,0.117,0.492
Simply Red,Sunrise,0.00189,0.029,0.791
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",0.0391,0.362,0.811
Girls Aloud,Sound Of The Underground,0.00344,0.0365,0.568
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,0.176,0.295,0.527
Room 5,Make Luv,0.0111,0.116,0.883
Fatman Scoop,Be Faithful,0.000787,0.295,0.649
Limp Bizkit,Behind Blue Eyes,0.497,0.0271,0.595
Sugababes,Too Lost In You,0.0485,0.0287,0.586
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",0.0199,0.2,0.802
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,0.453,0.13,0.894
Chingy,Right Thurr,0.15,0.253,0.866
Eminem,Sing For The Moment,0.0017,0.137,0.668
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,0.178,0.339,0.853
Mýa,My Love Is Like...Wo - Main Mix,0.194,0.109,0.831
50 Cent,21 Questions,0.349,0.299,0.646
Nelly,Air Force Ones,0.0847,0.317,0.784
Missy Elliott,Gossip Folks (feat. Ludacris),0.362,0.505,0.707
Girls Aloud,Jump,0.00189,0.0346,0.658
Ultrabeat,Pretty Green Eyes - Radio Edit,0.212,0.043,0.553
Christina Aguilera,Fighter,0.235,0.201,0.435
Frankie J,Don't Wanna Try,0.444,0.0348,0.655
Snoop Dogg,Beautiful,0.299,0.132,0.893
Floetry,Say Yes,0.211,0.0743,0.747
Ginuwine,In Those Jeans,0.508,0.0776,0.691
Electric Six,Danger! High Voltage - Soulchild Radio Mix,1.92e-05,0.0302,0.66
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,0.0733,0.138,0.85
Ludacris,Stand Up,0.367,0.349,0.751
Nas,I Can,0.103,0.182,0.837
3 Doors Down,When I'm Gone,0.00385,0.0284,0.53
Tyrese,How You Gonna Act Like That,0.107,0.0457,0.733
Justin Timberlake,Cry Me a River,0.577,0.183,0.624
Westlife,Mandy,0.254,0.0278,0.447
No Doubt,It's My Life,0.00202,0.0282,0.612
Amanda Perez,Angel,0.506,0.0473,0.638
JAY-Z,Excuse Me Miss,0.0305,0.286,0.714
Coldplay,Clocks,0.599,0.0279,0.577
Kelly Rowland,Stole,0.00676,0.0594,0.649
Missy Elliott,Work It,0.0778,0.283,0.884
Ashanti,Rock Wit U (Awww Baby),0.408,0.0582,0.71
Junior Senior,Move Your Feet,0.046,0.0803,0.747
Audioslave,Like a Stone,0.00797,0.0276,0.614
Sean Paul,Like Glue,0.0811,0.319,0.757
Jaheim,Put That Woman First,0.492,0.132,0.649
Jennifer Lopez,All I Have (feat. LL Cool J),0.271,0.107,0.701
Monica,So Gone,0.176,0.0981,0.618
Dido,White Flag,0.327,0.0401,0.512
The Roots,The Seed (2.0),0.039,0.0357,0.758
Chingy,Holidae In,0.0893,0.181,0.81
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),0.231,0.458,0.646
Kelly Clarkson,Miss Independent,0.0769,0.137,0.656
Ja Rule,Mesmerize,0.0566,0.199,0.769
Matchbox Twenty,Unwell,0.0298,0.0403,0.256
Outkast,The Way You Move (feat. Sleepy Brown),0.126,0.0464,0.871
Fabolous,Into You (feat. Tamia),0.233,0.0523,0.546
Switchfoot,Meant to Live,0.00575,0.0457,0.397
Daniel Bedingfield,If You're Not The One,0.504,0.0292,0.688
Good Charlotte,Lifestyles of the Rich & Famous,0.00043,0.0374,0.62
Wayne Wonder,No Letting Go,0.0479,0.0444,0.496
The Strokes,Reptilia,0.000603,0.0336,0.489
Avril Lavigne,I'm with You,0.08,0.0291,0.457
Will Young,Leave Right Now,0.145,0.0368,0.641
Usher,Yeah! (feat. Lil Jon & Ludacris),0.0183,0.112,0.894
Maroon 5,This Love,0.0525,0.0378,0.712
Britney Spears,Toxic,0.0249,0.114,0.774
Outkast,Hey Ya!,0.103,0.0664,0.727
Hoobastank,The Reason,0.0129,0.029,0.472
Anastacia,Left Outside Alone,0.0697,0.0321,0.663
Daddy Yankee,Gasolina,0.332,0.0618,0.857
Black Eyed Peas,Let's Get It Started - Spike Mix,0.117,0.126,0.785
O-Zone,Dragostea Din Tei,0.177,0.0427,0.809
Terror Squad,Lean Back,0.11,0.415,0.783
Anastacia,Sick and Tired,0.00908,0.0373,0.598
Gwen Stefani,What You Waiting For?,0.0509,0.0628,0.676
Ashanti,Only U - No Intro,0.0374,0.0434,0.601
The Rasmus,In the Shadows,0.000109,0.0275,0.6
Houston,I Like That,0.0154,0.0968,0.797
Beyoncé,Naughty Girl,0.239,0.0857,0.735
Linkin Park,Numb,0.0046,0.0381,0.496
Lloyd Banks,On Fire,0.0923,0.22,0.759
Akon,Locked Up,0.023,0.101,0.818
D12,My Band,0.497,0.0828,0.851
Jay Sean,Eyes On You - Radio Mix,0.0775,0.0847,0.802
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,0.347,0.0462,0.833
Destiny's Child,Lose My Breath,0.00727,0.0637,0.814
Eric Prydz,Call on Me - Radio Mix,0.00427,0.375,0.597
Ciara,Goodies (feat. Petey Pablo),0.0277,0.0491,0.826
Kelis,Trick Me,0.0369,0.149,0.97
LL Cool J,Headsprung,0.0114,0.0284,0.718
Spiderbait,Black Betty - Edit,2.06e-05,0.0922,0.562
George Michael,Amazing,0.0884,0.0394,0.805
Britney Spears,My Prerogative,0.0127,0.118,0.749
Nina Sky,Move Ya Body,0.0202,0.0432,0.87
Baby Bash,Suga Suga,0.688,0.268,0.662
Petey Pablo,Freek-A-Leek,0.0756,0.254,0.737
JAY-Z,Dirt Off Your Shoulder,0.0319,0.318,0.779
Juanes,La Camisa Negra,0.0838,0.0308,0.751
Avril Lavigne,Nobody's Home,0.000516,0.0497,0.348
Robbie Williams,Radio,0.00331,0.0349,0.607
Black Eyed Peas,Hey Mama,0.104,0.232,0.86
Ying Yang Twins,Salt Shaker,0.0509,0.128,0.884
Enrique Iglesias,Not In Love - Radio Mix,0.0371,0.0395,0.762
Kelis,Milkshake,0.00986,0.0439,0.881
Linkin Park,Breaking the Habit,0.108,0.0303,0.579
JoJo,Leave (Get Out) - Radio Edit,0.156,0.253,0.656
Christina Milian,Dip It Low,0.0108,0.104,0.752
