artist,song,acousticness,speechiness,danceability
Lady Gaga,Paparazzi,0.113,0.0438,0.762
JAY-Z,Empire State Of Mind,0.0295,0.392,0.491
OneRepublic,All The Right Moves,0.258,0.0474,0.529
Jeremih,Birthday Sex,0.295,0.0439,0.677
Cascada,Evacuate The Dancefloor,0.0167,0.0432,0.762
Linkin Park,New Divide,0.000235,0.0362,0.493
Kevin Rudolf,Let It Rock,0.000683,0.0397,0.607
JAY-Z,Run This Town,0.281,0.29,0.632
Lady Gaga,Bad Romance,0.00314,0.0363,0.696
T.I.,Live Your Life,0.071,0.255,0.375
Eminem,We Made You,0.107,0.0792,0.924
Dizzee Rascal,Bonkers,0.00615,0.22,0.624
Ciara,Love Sex Magic (feat. Justin Timberlake),0.0206,0.138,0.893
Rihanna,Russian Roulette,0.046,0.0447,0.48
Soulja Boy,Turn My Swag On,0.000969,0.0269,0.546
The xx,Intro,0.459,0.027,0.617
Jay Sean,Down,0.0108,0.0321,0.657
Keri Hilson,Turnin Me On - Original Dirty,0.00293,0.061,0.661
David Guetta,When Love Takes Over (feat. Kelly Rowland),0.0165,0.0253,0.675
Cheryl,Fight For This Love,0.013,0.0912,0.739
Soulja Boy,Kiss Me Thru The Phone,0.0185,0.112,0.758
Eminem,Crack A Bottle,0.0864,0.186,0.516
P!nk,Sober,0.0653,0.0299,0.614
Tinchy Stryder,Number 1,0.0105,0.0377,0.581
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)",0.171,0.19,0.451
JLS,Beat Again - Radio Edit,0.0355,0.0712,0.894
3OH!3,DONTTRUSTME,0.0163,0.254,0.791
A.R. Rahman,Jai Ho! (You Are My Destiny),0.0476,0.061,0.657
The Pussycat Dolls,I Hate This Part,0.0659,0.0317,0.756
Akon,Beautiful,0.123,0.0889,0.74
Alexandra Burke,Bad Boys (feat. Flo Rida),0.0115,0.0538,0.67
Mario,Break Up,0.428,0.363,0.44
Drake,Forever,0.249,0.342,0.457
Selena Gomez & The Scene,Naturally,0.0185,0.0511,0.605
Kanye West,Love Lockdown,0.0542,0.0323,0.76
The Veronicas,Untouched,0.0171,0.234,0.557
Fabolous,Throw It In The Bag,0.174,0.0473,0.789
Jason Derulo,Whatcha Say,0.0444,0.0779,0.615
Lily Allen,Not Fair,0.0447,0.0402,0.719
T.I.,Dead And Gone,0.0402,0.259,0.713
Sean Kingston,Fire Burning,0.0192,0.0329,0.839
Empire of the Sun,Walking On A Dream,0.257,0.0458,0.871
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),0.0116,0.0815,0.594
Nickelback,If Today Was Your Last Day,8.67e-05,0.0355,0.485
La Roux,Bulletproof,0.000441,0.0477,0.674
Kasabian,Fire,0.0874,0.0311,0.525
Calvin Harris,I'm Not Alone - Radio Edit,0.00481,0.0321,0.597
Justin Bieber,One Time,0.0631,0.0372,0.691
Jamie Foxx,Blame It,0.0782,0.103,0.673
La Roux,In For The Kill,0.00184,0.0455,0.629
Muse,Uprising,0.000202,0.0775,0.602
Nickelback,Gotta Be Somebody,0.000354,0.0601,0.536
James Morrison,Broken Strings,0.00967,0.029,0.57
T.I.,Whatever You Like,0.0161,0.0709,0.68
Dizzee Rascal,Holiday,0.0571,0.0448,0.545
Beyoncé,Single Ladies (Put a Ring on It),0.0383,0.296,0.426
Boys Like Girls,Love Drunk,0.00177,0.141,0.44
The-Dream,Rockin' That Shit,0.123,0.0422,0.672
OneRepublic,Secrets,0.0717,0.0366,0.516
JLS,Everybody in Love,0.0703,0.0327,0.705
Jason Aldean,Big Green Tractor,0.654,0.0289,0.616
The Fray,Never Say Never,0.568,0.0317,0.23
Lily Allen,The Fear,0.419,0.0404,0.661
Kings of Leon,Sex on Fire,0.00172,0.054,0.542
Drake,Best I Ever Had,0.0951,0.33,0.431
Kelly Clarkson,Already Gone,0.217,0.0757,0.209
Miley Cyrus,Party In The U.S.A.,0.00112,0.042,0.652
Jordin Sparks,Battlefield,0.0178,0.0339,0.613
Ne-Yo,Mad,0.665,0.0343,0.731
Green Day,21 Guns,0.0518,0.0355,0.268
Keri Hilson,Knock You Down,0.00952,0.16,0.588
Taylor Swift,You Belong With Me,0.164,0.0384,0.687
Shinedown,Second Chance,0.00107,0.0333,0.46
Asher Roth,I Love College,0.0897,0.243,0.713
Katy Perry,Waking Up In Vegas,0.0012,0.0346,0.524
Kelly Clarkson,My Life Would Suck Without You,0.0014,0.0509,0.526
Mumford & Sons,Little Lion Man,0.0275,0.0272,0.517
The Fray,You Found Me,0.0187,0.0413,0.338
Bruno Mars,Just the Way You Are,0.0134,0.0422,0.635
Eminem,Love The Way You Lie,0.241,0.227,0.749
Lady Gaga,Bad Romance,0.00314,0.0363,0.696
Stromae,Alors on danse - Radio Edit,0.0994,0.0793,0.791
Kesha,TiK ToK,0.0991,0.142,0.755
David Guetta,Memories (feat. Kid Cudi),0.00144,0.255,0.546
Taio Cruz,Dynamite,0.00379,0.0859,0.751
Rihanna,Only Girl (In The World),0.129,0.0432,0.789
Katy Perry,California Gurls,0.00446,0.0569,0.791
Kesha,Take It Off,4.14e-05,0.0286,0.729
INNA,Hot - Play & Win Radio Version,0.0798,0.28,0.817
Far East Movement,Like A G6,0.00676,0.449,0.435
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),0.178,0.0816,0.615
Duck Sauce,Barbra Streisand - Radio Edit,0.000939,0.108,0.769
Lucenzo,Danza Kuduro (feat. Don Omar),0.00713,0.112,0.622
Rihanna,Te Amo,0.541,0.0818,0.567
Timbaland,Carry Out (Featuring Justin Timberlake),0.114,0.113,0.531
DJ Fresh,Gold Dust - Radio Edit,0.255,0.147,0.451
Edward Maya,Stereo Love - Radio Edit,0.0346,0.0322,0.799
Taio Cruz,Break Your Heart,0.0327,0.0314,0.607
Black Eyed Peas,Imma Be,0.179,0.365,0.597
Sidney Samson,Riverside,0.00023,0.0445,0.804
Eminem,Not Afraid,0.529,0.264,0.855
Lady Gaga,Alejandro,0.000397,0.0462,0.623
Rihanna,Rude Boy,0.113,0.127,0.563
Ne-Yo,Beautiful Monster,0.209,0.131,0.708
3OH!3,Starstrukk,0.00153,0.0712,0.605
Black Eyed Peas,The Time (Dirty Bit),0.0662,0.0664,0.816
Kelly Rowland,Commander,0.0173,0.138,0.395
Swedish House Mafia,One (Your Name) - Radio Edit,0.0132,0.0333,0.733
Chris Brown,Deuces (feat. Tyga & Kevin McCall),0.0324,0.11,0.692
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),0.0338,0.109,0.663
Iyaz,Replay,0.173,0.0708,0.706
Flo Rida,Club Can't Handle Me (feat. David Guetta),0.0283,0.0327,0.616
Sean Kingston,Eenie Meenie,0.0543,0.0322,0.72
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),0.00544,0.0391,0.76
Tinie Tempah,Written in the Stars (feat. Eric Turner),0.0613,0.0981,0.656
Bruno Mars,Talking to the Moon,0.511,0.032,0.498
Miley Cyrus,Can't Be Tamed,0.0287,0.144,0.63
Mike Posner,Cooler Than Me - Single Mix,0.179,0.0474,0.768
Lady Gaga,Telephone,0.00521,0.0404,0.824
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),0.0712,0.0464,0.901
Rihanna,Hard,0.0121,0.111,0.31
Tinie Tempah,Pass Out,0.0281,0.296,0.693
Adam Lambert,Whataya Want from Me,0.0055,0.0429,0.438
Trey Songz,Bottoms Up (feat. Nicki Minaj),0.0205,0.161,0.845
Timbaland,If We Ever Meet Again (Featuring Katy Perry),0.00481,0.0393,0.652
Enrique Iglesias,I Like It,0.021,0.0878,0.648
Tim Berg,Seek Bromance - Avicii’s Vocal Edit,0.0868,0.0401,0.515
Usher,OMG (feat. will.i.am),0.198,0.0332,0.781
Maroon 5,Misery,0.000315,0.0424,0.703
Jay Sean,Down,0.0108,0.0321,0.657
Rihanna,Man Down,0.0436,0.177,0.47
3OH!3,My First Kiss (feat. Ke$ha),0.00564,0.0804,0.682
Justin Bieber,Baby,0.0401,0.137,0.728
Cali Swag District,Teach Me How to Dougie,0.2,0.141,0.846
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,0.00237,0.0674,0.736
K'NAAN,Wavin' Flag,0.13,0.0729,0.625
Ludacris,How Low,0.00248,0.0533,0.785
Kesha,Blah Blah Blah (feat. 3OH!3),0.0843,0.115,0.752
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.014,0.189,0.544
Jason Derulo,In My Head,0.0266,0.033,0.762
Aloe Blacc,I Need A Dollar,0.202,0.0333,0.84
B.o.B,Airplanes (feat. Hayley Williams of Paramore),0.11,0.116,0.66
Ludacris,My Chick Bad,0.172,0.378,0.624
Nelly,Just A Dream,0.0421,0.0305,0.531
Rihanna,What's My Name?,0.23,0.069,0.692
Shontelle,Impossible,0.385,0.0343,0.599
Take That,The Flood,0.0378,0.044,0.514
Trey Songz,Say Aah (feat. Fabolous),0.00453,0.113,0.724
Jason Derulo,Whatcha Say,0.0444,0.0779,0.615
Drake,Over,0.0109,0.279,0.325
Example,Kickstarts,0.00374,0.0573,0.61
Plan B,She Said,0.301,0.141,0.72
The Saturdays,Higher,0.049,0.0341,0.639
Jay Sean,Do You Remember,0.0242,0.0644,0.855
Usher,Hey Daddy (Daddy's Home),0.000176,0.0286,0.59
Lil Wayne,Right Above It,0.0435,0.356,0.376
The Wanted,All Time Low,0.352,0.0563,0.689
Kesha,Your Love Is My Drug,0.00681,0.0982,0.826
Ellie Goulding,Starry Eyed,0.135,0.0389,0.504
Drake,Find Your Love,0.0209,0.173,0.625
Jason Derulo,Ridin' Solo,0.128,0.146,0.442
Two Door Cinema Club,What You Know,0.000665,0.0407,0.55
JAY-Z,Young Forever,0.417,0.0693,0.637
Young Money,BedRock,0.102,0.295,0.733
B.o.B,Nothin' on You (feat. Bruno Mars),0.386,0.0493,0.688
Katy Perry,Teenage Dream,0.0162,0.0361,0.719
Scouting For Girls,This Ain't a Love Song,0.000431,0.0451,0.458
Travie McCoy,Billionaire (feat. Bruno Mars),0.297,0.258,0.633
Owl City,Fireflies,0.0275,0.0439,0.512
Alicia Keys,Empire State of Mind (Part II) Broken Down,0.74,0.0341,0.484
Lady A,Need You Now,0.0298,0.0318,0.581
Taylor Swift,Back To December,0.117,0.0303,0.529
Neon Trees,Animal,0.00034,0.0437,0.482
Kris Allen,Live Like We're Dying,0.0273,0.0397,0.589
Matt Cardle,When We Collide,0.0198,0.0343,0.443
Robyn,Dancing On My Own,0.0743,0.0349,0.687
The Band Perry,If I Die Young,0.348,0.0277,0.606
B.o.B,Magic (feat. Rivers Cuomo),0.0127,0.343,0.549
Adele,Rolling in the Deep,0.138,0.0298,0.73
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.0117,0.0475,0.722
LMFAO,Party Rock Anthem,0.0206,0.156,0.751
Katy Perry,Firework,0.141,0.049,0.638
Bruno Mars,Grenade,0.148,0.0542,0.704
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.0434,0.0884,0.595
Alexandra Stan,Mr. Saxobeat,0.0218,0.0468,0.726
David Guetta,Who's That Chick? (feat. Rihanna),0.00377,0.116,0.675
Jennifer Lopez,On The Floor,0.105,0.0496,0.73
Rihanna,S&M,0.0113,0.042,0.767
Kesha,Blow,0.00334,0.0392,0.753
Snoop Dogg,Sweat - Remix,0.0597,0.03,0.813
Taio Cruz,Higher,0.0048,0.0721,0.672
Usher,More - RedOne Jimmy Joker Remix,0.00166,0.0543,0.551
Example,Changed the Way You Kiss Me - Radio Edit,0.00548,0.041,0.578
Black Eyed Peas,Just Can’t Get Enough,0.186,0.179,0.659
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),0.055,0.0414,0.666
Lykke Li,I Follow Rivers - The Magician Remix,0.0192,0.0395,0.786
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.191,0.161,0.671
Selena Gomez & The Scene,Love You Like A Love Song,0.0761,0.0469,0.858
Wiz Khalifa,Black and Yellow,0.0646,0.0675,0.684
Katy Perry,E.T.,0.0181,0.175,0.62
Britney Spears,I Wanna Go,0.00379,0.0414,0.696
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),0.0319,0.0976,0.646
Edward Maya,Stereo Love - Radio Edit,0.0346,0.0322,0.799
Enrique Iglesias,Tonight (I'm Fuckin' You),0.0294,0.0523,0.648
Jeremih,Down On Me,0.0369,0.114,0.7
Sak Noel,Loca People - Radio Edit,0.000915,0.0599,0.926
Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),0.14,0.0581,0.843
LMFAO,Sexy And I Know It,0.1,0.316,0.707
Cobra Starship,You Make Me Feel... (feat. Sabi),0.0191,0.0535,0.668
Jessie J,Do It Like A Dude,0.0491,0.049,0.663
DJ Fresh,Louder (feat. Sian Evans) - Radio Edit,0.0184,0.0464,0.31
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),0.00544,0.0391,0.76
Nickelback,When We Stand Together,0.000102,0.0489,0.446
M83,Midnight City,0.0182,0.0393,0.507
Britney Spears,Till the World Ends,0.0228,0.0665,0.693
Labrinth,Earthquake (feat. Tinie Tempah),0.109,0.1,0.54
Jason Derulo,Don't Wanna Go Home,0.02,0.0652,0.671
Coldplay,Paradise,0.0509,0.0268,0.449
Katy Perry,Last Friday Night (T.G.I.F.),0.00125,0.0415,0.649
Adele,Set Fire to the Rain,0.00408,0.0249,0.603
Dr. Dre,I Need A Doctor,0.0869,0.452,0.594
Lil Wayne,6 Foot 7 Foot,0.0007,0.304,0.364
DJ Khaled,I'm On One,0.0536,0.318,0.413
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),0.0339,0.184,0.767
Far East Movement,Rocketeer,0.181,0.0461,0.664
The Wanted,Glad You Came,0.0319,0.0639,0.722
Kesha,We R Who We R,0.00987,0.0407,0.736
Kelly Rowland,Motivation,0.187,0.0418,0.744
Rihanna,We Found Love,0.025,0.0383,0.735
Nicole Scherzinger,Don't Hold Your Breath,0.00646,0.0262,0.66
Mann,Buzzin Remix,0.0887,0.146,0.687
Chris Brown,Yeah 3x,0.000369,0.0445,0.705
Swedish House Mafia,Save The World,0.0144,0.0474,0.507
Kanye West,All Of The Lights,0.0796,0.0717,0.531
Miguel,Sure Thing,0.0267,0.1,0.684
Diddy - Dirty Money,Coming Home,0.158,0.193,0.392
Rihanna,What's My Name?,0.23,0.069,0.692
Chris Brown,Beautiful People,0.0658,0.161,0.415
Avril Lavigne,What the Hell,0.00472,0.0548,0.578
Professor Green,Read All About It,0.336,0.0434,0.656
Chase & Status,Blind Faith,0.00523,0.0472,0.45
Chip,Champion (feat. Chris Brown),0.078,0.24,0.415
Selena Gomez & The Scene,Who Says,0.0843,0.0479,0.682
Rizzle Kicks,Down With The Trumpets,0.087,0.0806,0.753
Lady Gaga,Born This Way,0.00327,0.161,0.587
Nicki Minaj,Super Bass,0.269,0.209,0.72
Mac Miller,Donald Trump,0.119,0.118,0.636
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,0.0334,0.0399,0.779
David Guetta,Without You (feat. Usher),0.227,0.0285,0.608
Foster The People,Pumped Up Kicks,0.145,0.0292,0.733
Drake,Headlines,0.365,0.106,0.636
Jessie J,Price Tag,0.0294,0.182,0.636
Jason Aldean,Dirt Road Anthem,0.32,0.0352,0.678
Wiz Khalifa,Roll Up,0.0524,0.192,0.523
OneRepublic,Good Life,0.0771,0.052,0.634
Bad Meets Evil,Lighters,0.352,0.245,0.676
Bruno Mars,The Lazy Song,0.3,0.0699,0.794
Lupe Fiasco,The Show Goes On,0.0189,0.115,0.591
James Morrison,I Won't Let You Go,0.229,0.0304,0.537
Jason Derulo,It Girl,0.0165,0.0605,0.668
Adele,Someone Like You,0.893,0.028,0.554
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,0.00112,0.029,0.683
Keri Hilson,Pretty Girl Rock,0.203,0.246,0.666
P!nk,F**kin' Perfect,0.0422,0.0373,0.563
Blake Shelton,Honey Bee,0.00167,0.0385,0.481
Lady Gaga,The Edge Of Glory,0.000323,0.041,0.583
Lady A,Just A Kiss,0.446,0.0307,0.593
Hot Chelle Rae,Tonight Tonight,0.0764,0.119,0.686
Grouplove,Tongue Tied,0.00847,0.0439,0.56
Coldplay,Every Teardrop Is a Waterfall,0.00194,0.0396,0.425
Beyoncé,Best Thing I Never Had,0.143,0.0324,0.545
P!nk,Raise Your Glass,0.0048,0.0838,0.7
Christina Perri,Jar of Hearts,0.726,0.0316,0.349
Bruno Mars,Marry You,0.332,0.0367,0.621
The Band Perry,If I Die Young,0.348,0.0277,0.606
Lil Wayne,How To Love,0.000177,0.0418,0.644
Charlene Soraia,Wherever You Will Go,0.82,0.0334,0.597
Christina Perri,A Thousand Years,0.309,0.0267,0.421
Rihanna,We Found Love,0.025,0.0383,0.735
Carly Rae Jepsen,Call Me Maybe,0.0114,0.0408,0.783
fun.,We Are Young (feat. Janelle Monáe),0.02,0.075,0.378
Sean Paul,She Doesn't Mind,0.000624,0.0693,0.718
Pitbull,International Love (feat. Chris Brown),0.0124,0.0499,0.67
DEV,In The Dark,0.00358,0.0672,0.736
Adele,Skyfall,0.417,0.0282,0.346
David Guetta,Turn Me On (feat. Nicki Minaj),0.0488,0.0591,0.704
Rihanna,Where Have You Been,0.00201,0.0916,0.719
JAY-Z,Ni**as In Paris,0.127,0.311,0.789
Maroon 5,One More Night,0.0558,0.0314,0.716
Skrillex,Bangarang (feat. Sirah),0.0145,0.196,0.716
The Wanted,Chasing The Sun,0.244,0.0965,0.637
Flo Rida,Whistle,0.0208,0.0453,0.747
will.i.am,This Is Love,0.00473,0.0445,0.535
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],0.0841,0.0655,0.492
Nicki Minaj,Pound The Alarm,0.0403,0.0609,0.728
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,0.123,0.404,0.716
MARINA,Primadonna,0.0884,0.0337,0.66
Kanye West,Mercy,0.0685,0.406,0.563
DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,0.00656,0.0431,0.524
LMFAO,Sexy And I Know It,0.1,0.316,0.707
PSY,Gangnam Style (강남스타일),0.00417,0.286,0.727
Kesha,Die Young,0.00498,0.046,0.711
Usher,Scream,0.00117,0.0973,0.616
Olly Murs,Troublemaker (feat. Flo Rida),0.015,0.0565,0.762
Linkin Park,BURN IT DOWN,0.0143,0.0534,0.585
Bruno Mars,Locked out of Heaven,0.049,0.0431,0.726
Avicii,Levels - Radio Edit,0.0462,0.0343,0.584
Flo Rida,Good Feeling,0.0588,0.0688,0.706
Rihanna,Diamonds,0.00125,0.0461,0.564
Wiz Khalifa,"Work Hard, Play Hard",0.0409,0.0485,0.787
Katy Perry,Part Of Me,0.000417,0.0355,0.678
Nicki Minaj,Starships,0.135,0.075,0.747
Kendrick Lamar,m.A.A.d city,0.0538,0.271,0.487
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],0.187,0.0547,0.821
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,0.00225,0.0482,0.578
Azealia Banks,212,0.0145,0.258,0.847
Maroon 5,Payphone,0.0188,0.0414,0.743
James Arthur,Impossible,0.135,0.0933,0.376
Michel Teló,Ai Se Eu Te Pego - Live,0.357,0.0692,0.676
Otto Knows,Million Voices - Radio Edit,0.0022,0.041,0.582
Icona Pop,I Love It,0.00828,0.0296,0.71
Tyga,Rack City,0.0373,0.371,0.929
Calvin Harris,Feel So Close - Radio Edit,0.000972,0.031,0.707
Jennifer Lopez,Dance Again,0.0158,0.0696,0.797
Grimes,Oblivion,0.115,0.0338,0.697
Adele,Rumour Has It,0.617,0.0445,0.612
Coldplay,Paradise,0.0509,0.0268,0.449
Chris Brown,Turn Up the Music,0.000238,0.102,0.594
Frank Ocean,Lost,0.0272,0.226,0.913
Calvin Harris,Let's Go (feat. Ne-Yo),0.00777,0.0595,0.71
The Script,Hall of Fame (feat. will.i.am),0.0654,0.0564,0.421
Swedish House Mafia,Don't You Worry Child - Radio Edit,0.112,0.0509,0.612
MARINA,How to Be a Heartbreaker,0.0142,0.0506,0.69
Justin Bieber,Boyfriend,0.0358,0.0519,0.717
David Guetta,Titanium (feat. Sia),0.0679,0.103,0.604
Jessie J,Domino,0.0117,0.034,0.758
Taylor Swift,I Knew You Were Trouble.,0.00454,0.0363,0.622
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),0.0166,0.108,0.646
P!nk,Try,0.00144,0.03,0.674
Robbie Williams,Candy,0.0368,0.0414,0.715
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",0.0525,0.137,0.715
Justin Bieber,As Long As You Love Me,0.0811,0.1,0.571
Rita Ora,R.I.P. (feat. Tinie Tempah),0.027,0.0479,0.603
Alex Clare,Too Close,0.00948,0.0387,0.588
Tyga,Faded,0.0103,0.188,0.831
Alesso,Years - ラジオ・エディット,0.00234,0.0805,0.37
Guy Sebastian,Battle Scars (feat. Lupe Fiasco),0.186,0.206,0.61
Katy Perry,The One That Got Away,0.000802,0.0353,0.687
Avicii,Silhouettes - Original Radio Edit,0.155,0.0545,0.605
Gotye,Somebody That I Used To Know,0.607,0.0358,0.863
Flo Rida,Wild Ones (feat. Sia),0.0991,0.0554,0.608
One Direction,What Makes You Beautiful,0.009,0.0737,0.726
Lana Del Rey,Born To Die,0.209,0.0439,0.18
Kesha,C'Mon,0.00657,0.0963,0.558
Owl City,Good Time,0.0239,0.14,0.56
Calvin Harris,We'll Be Coming Back (feat. Example),0.00131,0.0873,0.596
Emeli Sandé,"Read All About It, Pt. III",0.822,0.0249,0.63
Ellie Goulding,Lights - Single Version,0.0297,0.0367,0.682
Train,Drive By,0.00107,0.032,0.765
Disclosure,Latch,0.0159,0.167,0.503
Coldplay,Princess of China,0.00385,0.0347,0.42
One Direction,Live While We're Young,0.0629,0.0543,0.658
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),0.134,0.0513,0.716
Carrie Underwood,Blown Away,0.0909,0.0429,0.531
alt-J,Breezeblocks,0.096,0.0344,0.616
Chris Brown,Don't Wake Me Up,0.0548,0.051,0.602
Kelly Clarkson,Stronger (What Doesn't Kill You),0.046,0.0475,0.562
Drake,The Motto,0.000107,0.356,0.766
Katy Perry,Wide Awake,0.0749,0.0367,0.514
Rita Ora,How We Do (Party),0.0034,0.0833,0.738
Rudimental,Feel the Love (feat. John Newman),0.0026,0.0593,0.389
Lana Del Rey,Ride,0.128,0.034,0.373
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),0.248,0.0393,0.658
Demi Lovato,Give Your Heart a Break,0.23,0.0487,0.651
Drake,Take Care,0.0267,0.265,0.629
Little Mix,Wings,0.000673,0.127,0.738
Bruno Mars,It Will Rain,0.337,0.0486,0.576
Cher Lloyd,Want U Back,0.0662,0.076,0.696
Lorde,Royals,0.121,0.122,0.674
Robin Thicke,Blurred Lines,0.00412,0.0489,0.861
Imagine Dragons,Radioactive,0.106,0.0627,0.448
Avicii,Wake Me Up,0.0038,0.0523,0.532
Bruno Mars,Locked out of Heaven,0.049,0.0431,0.726
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),0.0619,0.293,0.781
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.0426,0.038,0.794
will.i.am,Scream & Shout,0.019,0.0696,0.772
Stromae,Papaoutai,0.0241,0.0859,0.733
Bingo Players,Get Up (Rattle) - Vocal Edit,0.0205,0.0645,0.801
Naughty Boy,La La La,0.112,0.0316,0.754
Tom Odell,Another Love,0.695,0.04,0.445
2 Chainz,We Own It (Fast & Furious),0.0545,0.402,0.563
David Guetta,Play Hard (feat. Ne-Yo & Akon),0.173,0.0533,0.691
Pitbull,Feel This Moment (feat. Christina Aguilera),0.039,0.158,0.673
will.i.am,#thatPOWER,0.00112,0.0584,0.797
Lil Wayne,Love Me,0.0125,0.0327,0.669
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),0.0291,0.0786,0.641
Martin Garrix,Animals - Radio Edit,0.00137,0.0363,0.593
Jason Derulo,Talk Dirty (feat. 2 Chainz),0.0348,0.232,0.76
John Newman,Love Me Again,0.00453,0.0441,0.495
Britney Spears,Work B**ch,0.124,0.15,0.63
The Neighbourhood,Sweater Weather,0.0495,0.0336,0.612
Sebastian Ingrosso,Reload - Radio Edit,0.0736,0.0521,0.485
Capital Cities,Safe And Sound,0.000189,0.0309,0.652
Demi Lovato,Heart Attack,0.0738,0.104,0.504
Arctic Monkeys,Why'd You Only Call Me When You're High?,0.0483,0.0368,0.691
Justin Bieber,Beauty And A Beat,0.000688,0.0593,0.602
Eminem,The Monster,0.0525,0.0715,0.781
Pitbull,Don't Stop the Party (feat. TJR),0.00726,0.0912,0.722
Selena Gomez,Come & Get It,0.0101,0.0517,0.546
P!nk,True Love (feat. Lily Allen),0.00144,0.311,0.457
Disclosure,White Noise,0.00963,0.0501,0.665
Flo Rida,I Cry,0.00616,0.0439,0.693
Kanye West,Black Skinhead,0.000986,0.322,0.578
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,0.0157,0.0558,0.572
Eminem,Berzerk,0.0217,0.333,0.739
Icona Pop,I Love It (feat. Charli XCX),0.00952,0.0284,0.711
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),0.0271,0.064,0.558
Lorde,Team,0.162,0.0939,0.691
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,0.332,0.0374,0.509
Imagine Dragons,Demons,0.19,0.0321,0.505
One Direction,One Way or Another (Teenage Kicks),0.025,0.071,0.489
Taylor Swift,I Knew You Were Trouble.,0.00454,0.0363,0.622
Arctic Monkeys,Do I Wanna Know?,0.186,0.0323,0.548
Rudimental,Waiting All Night (feat. Ella Eyre),0.00264,0.05,0.544
Klangkarussell,Sonnentanz - Sun Don't Shine,0.104,0.0909,0.579
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),0.0469,0.0514,0.665
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.0239,0.275,0.853
P!nk,Try,0.00144,0.03,0.674
Ylvis,The Fox (What Does the Fox Say?),0.107,0.0453,0.703
Ellie Goulding,Burn,0.31,0.0432,0.559
Baauer,Harlem Shake,0.0111,0.0483,0.452
Calvin Harris,I Need Your Love (feat. Ellie Goulding),0.41,0.0483,0.695
Katy Perry,This Is How We Do,0.0203,0.0457,0.69
AWOLNATION,Sail,0.452,0.0568,0.825
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,0.00176,0.049,0.681
Jason Derulo,The Other Side,0.0525,0.1,0.561
Storm Queen,Look Right Through - MK Vocal Edit,0.00304,0.081,0.832
Calvin Harris,Sweet Nothing (feat. Florence Welch),0.197,0.109,0.573
Katy Perry,Unconditionally,0.00357,0.0387,0.555
Wale,Bad (feat. Rihanna) - Remix,0.307,0.0748,0.807
Ciara,Body Party,0.0143,0.0563,0.577
Drake,Started From the Bottom,0.0331,0.161,0.794
Birdy,Wings,0.0831,0.0253,0.474
Bastille,Of The Night,0.0192,0.0427,0.67
Olly Murs,Dear Darlin',0.00627,0.0454,0.512
Katy Perry,Roar,0.00487,0.0418,0.554
Blake Shelton,Sure Be Cool If You Did,0.255,0.035,0.576
Calvin Harris,Thinking About You (feat. Ayah Marar),0.00262,0.0396,0.725
JAY-Z,Holy Grail,0.0594,0.0831,0.676
Bridgit Mendler,Ready or Not,0.00351,0.0509,0.715
The Saturdays,What About Us,0.0059,0.0581,0.704
Bastille,Pompeii,0.0755,0.0407,0.679
