BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,House for sale,1195000,4,4.0,2704.0,"Staten Island, NY 10309","52 Indale AveStaten Island, NY 10309",United States,New York,Richmond County
,Condo for sale,17500000,5,6.0,5499.0,"New York, NY 10007","37 Warren St Unit PhcdNew York, NY 10007",United States,New York,New York County
,Condo for sale,189000,2,2.0,966.0,"Staten Island, NY 10305","20 Cliff St Apt 6DStaten Island, NY 10305",New York,Richmond County,Staten Island
,Condo for sale,759000,3,2.0,1200.0,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens
,House for sale,275000,4,1.0,2184.207862,"Brooklyn, NY 11210","579 E 29th StBrooklyn, NY 11210",United States,New York,Kings County
Brokered by COMPASS,Condo for sale,499000,1,1.0,630.0,"Manhattan, NY 10021","157 E 72nd St Apt 8IManhattan, NY 10021",,New York County,New York
,House for sale,1249000,3,2.3738608579684373,2184.207862,"Bronx, NY 10463","3021 Arlington AveBronx, NY 10463",,New York,Bronx County
,Co-op for sale,69900,2,1.0,700.0,"Bronx, NY 10465","61 Edgewater Park Unit BBronx, NY 10465",United States,New York,Bronx County
,Multi-family home for sale,1150000,12,6.0,5508.0,"Astoria, NY 11103","32-40 48 StAstoria, NY 11103",,New York,Queens County
"Brokered by Island Advantage Rlty, Llc",Foreclosure,0,5,4.0,3740.0,"New York, NY 10031","517 W 142nd StNew York, NY 10031",United States,New York,New York County
,Co-op for sale,1399000,3,4.0,1993.0,"Floral Park, NY 11005","269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",,Queens County,Queens
Brokered by Douglas Elliman - Roslyn,Condo for sale,649000,3,2.0,1182.0,"Fresh Meadows, NY 11365","163-04 71st Ave Unit 122Fresh Meadows, NY 11365",,Queens County,Queens
,House for sale,499000,5,2.0,1760.0,"Bronx, NY 10458","2774 Marion AveBronx, NY 10458",,New York,Bronx County
,Multi-family home for sale,1050000,5,4.0,3132.0,"Bronx, NY 10465","2818 Miles AveBronx, NY 10465",United States,New York,Bronx County
,Townhouse for sale,5000000,10,9.0,6425.0,"Manhattan, NY 10024","137 W 80th StManhattan, NY 10024",United States,New York,New York County
,Pending,90000,1,1.0,660.0,"Staten Island, NY 10306","16 Mapleton AveStaten Island, NY 10306",United States,New York,Richmond County
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10.0,24000.0,"New York, NY 10019","9 W 54th StNew York, NY 10019",United States,New York,New York County
,Townhouse for sale,650000,3,2.3738608579684373,1638.0,"Bronx, NY 10465","1544 Ohm AveBronx, NY 10465",United States,New York,Bronx County
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,500000,4,3.0,1794.0,"New York, NY 10024","251 W 89th St Apt 6ENew York, NY 10024",,New York County,New York
,House for sale,350000,2,1.0,490.0,"Staten Island, NY 10306","750 Patterson AveStaten Island, NY 10306",,New York,Richmond County
,House for sale,1099000,4,2.0,2184.207862,"Queens, NY 11697","204-34 9th AveQueens, NY 11697",United States,New York,Queens County
Brokered by RE MAX Boutique Realty,Co-op for sale,90000,1,1.0,450.0,"Bronx, NY 10452","1383 Plimpton Ave Apt 1CBronx, NY 10452",,Bronx County,The Bronx
,House for sale,839000,4,2.0,2184.207862,"Howard Beach, NY 11414","158-35 87th StHoward Beach, NY 11414",,New York,Queens County
,House for sale,659000,8,3.0,2184.207862,"Jamaica, NY 11435","148-05 111th AveJamaica, NY 11435",,New York,Queens County
Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3.0,2184.207862,"Jamaica, NY 11435","148-05 111th AveJamaica, NY 11435",United States,New York,Queens County
,House for sale,399999,3,1.0,2184.207862,"Far Rockaway, NY 11691","178 Beach 24th StFar Rockaway, NY 11691",,New York,Queens County
,Condo for sale,250000,3,1.0,2184.207862,"Brooklyn, NY 11229","3105 Avenue V Apt 1FBrooklyn, NY 11229",,Kings County,Brooklyn
,For sale,1740000,2,2.0,1132.0,"New York, NY 10025","The Rockwell # 6HNew York, NY 10025",United States,New York,New York County
Brokered by Epiphany Realty Llc,House for sale,650000,4,2.0,2244.0,"Cambria Heights, NY 11411","115115 220th StCambria Heights, NY 11411",,New York,Queens County
,House for sale,1165000,3,4.0,3500.0,"Staten Island, NY 10309","67 Dexter AveStaten Island, NY 10309",,New York,Richmond County
