BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,Multi-family home for sale,1699000,5,5.0,2184.207862,"Astoria, NY 11105","42-11 Astoria Blvd NAstoria, NY 11105",United States,New York,Queens County
,Condo for sale,2375000,2,2.0,986.0,"Queens, NY 11101","3 Court Sq W Ph 202Queens, NY 11101",United States,New York,Queens County
Brokered by DNLS Real Estate Mgmt LLC,Co-op for sale,349999,1,1.0,2184.207862,"Rego Park, NY 11374","97-37 63rd Rd Unit 11FRego Park, NY 11374",New York,Queens County,Queens
Brokered by Prime Homes Realty,House for sale,425000,2,1.0,2184.207862,"Jamaica, NY 11436","117-23 142nd StJamaica, NY 11436",United States,New York,Queens County
,House for sale,1650000,3,4.0,2272.0,"Brooklyn, NY 11235","132 Oxford StBrooklyn, NY 11235",,New York,Kings County
,Pending,1225000,4,2.0,2184.207862,"Queens, NY 11372","34-47 80th St Unit 31Queens, NY 11372",,Queens County,Queens
,House for sale,699000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11236","10557 Avenue KBrooklyn, NY 11236",United States,New York,Kings County
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1150000,1,1.0,984.0,"Brooklyn, NY 11201","40 Remsen St Apt 4Brooklyn, NY 11201",,Kings County,Brooklyn
,House for sale,2399000,5,5.0,2184.207862,"Brooklyn, NY 11234","208 Mayfair Dr NBrooklyn, NY 11234",,,Kings County
,Multi-family home for sale,989000,8,5.0,3252.0,"Bronx, NY 10466","855 E 223rd StBronx, NY 10466",United States,New York,Bronx County
Brokered by Lombardo Homes & Estates,Co-op for sale,318888,1,1.0,875.0,"Corona, NY 11368","99-25 60th Ave Unit 6GCorona, NY 11368",New York,Queens County,Queens
,Co-op for sale,799000,2,2.0,1549.0,"Floral Park, NY 11005","27010 Grand Central Pkwy Apt 24KFloral Park, NY 11005",New York,Queens County,Queens
,Co-op for sale,489000,2,1.0,950.0,"Brooklyn, NY 11209","9201 Shore Rd Apt D509Brooklyn, NY 11209",,Kings County,Brooklyn
,Co-op for sale,398000,2,1.0,900.0,"Brooklyn, NY 11209","181 73rd St Apt 457Brooklyn, NY 11209",,Kings County,Brooklyn
Brokered by Grand Realty Advisors,House for sale,1190000,3,2.0,1088.0,"Brooklyn, NY 11235","186 Mackenzie StBrooklyn, NY 11235",United States,New York,Kings County
,Townhouse for sale,795000,5,2.0,2184.207862,"Brooklyn, NY 11208","1065 Hegeman AveBrooklyn, NY 11208",,New York,Kings County
Brokered by Douglas Elliman - Franklin Square,Multi-family home for sale,750000,3,4.0,2184.207862,"Brooklyn, NY 11203","4701 Beverley RdBrooklyn, NY 11203",United States,New York,Kings County
,Condo for sale,899999,3,3.0,1750.0,"Flushing, NY 11354","148-09 Northern Blvd Unit 5GFlushing, NY 11354",,Queens County,Queens
Brokered by Avenues - Headquarters,Townhouse for sale,795000,5,2.0,2184.207862,"Brooklyn, NY 11208","1065 Hegeman AveBrooklyn, NY 11208",United States,New York,Kings County
,Multi-family home for sale,750000,3,4.0,2184.207862,"Brooklyn, NY 11203","4701 Beverley RdBrooklyn, NY 11203",,New York,Kings County
Brokered by Prospes Real Estate Corp,Condo for sale,899999,3,3.0,1750.0,"Flushing, NY 11354","148-09 Northern Blvd Unit 5GFlushing, NY 11354",,Queens County,Queens
,Condo for sale,1325000,3,2.0,1597.0,"Brooklyn, NY 11209","9511 Shore Rd Apt 503Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by Corcoran Brooklyn Heights,Townhouse for sale,595000,1,2.0,846.0,"Brooklyn, NY 11213","943 Saint Marks Ave Apt 1ABrooklyn, NY 11213",New York,Kings County,Brooklyn
Brokered by NEUHAUS REALTY INC.,Multi-family home for sale,10700000,42,43.0,27152.0,"Staten Island, NY 10302","646-662 Port Richmond AveStaten Island, NY 10302",United States,New York,Richmond County
Brokered by Keller Williams Realty Central Monmouth,Condo for sale,330000,1,1.0,726.0,"Staten Island, NY 10301","215 Hart Blvd Apt 2BStaten Island, NY 10301",,Richmond County,Staten Island
,Condo for sale,2998000,3,3.0,1763.0,"Queens, NY 11109","46-30 Center Blvd Ph 4Queens, NY 11109",,New York,Queens County
Brokered by Keller Williams Realty Liberty,Co-op for sale,425000,2,1.0,2184.207862,"Brooklyn, NY 11206","86 Beaver St Apt 2JBrooklyn, NY 11206",New York,Kings County,Brooklyn
,Co-op for sale,345000,2,1.0,1000.0,"Bronx, NY 10463","2711 Henry Hudson Pkwy Apt 5GBronx, NY 10463",New York,Bronx County,The Bronx
,Condo for sale,999000,2,2.0,1187.0,"Flushing, NY 11355","133-38 Sanford Ave Unit 16DFlushing, NY 11355",New York,Queens County,Queens
,House for sale,450000,3,2.3738608579684373,2184.207862,"Queens, NY 11413","125-15 Defoe StQueens, NY 11413",,New York,Queens County
,Co-op for sale,135000,2,1.0,750.0,"Bronx, NY 10459","950 Hoe Ave Apt 4CBronx, NY 10459",New York,Bronx County,The Bronx
,Condo for sale,261250,2,1.0,857.0,"Bronx, NY 10459","1017 Faile St Unit 1017BBronx, NY 10459",,Bronx County,The Bronx
Brokered by City Realty Group,Condo for sale,728000,3,2.0,1450.0,"Woodside, NY 11377","41-38 66th St Unit 5BWoodside, NY 11377",New York,Queens County,Queens
,Pending,199000,3,2.0,1100.0,"Bronx, NY 10456","1259 Grant Ave Apt 5HBronx, NY 10456",New York,Bronx County,The Bronx
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,3200000,3,2.3738608579684373,3735.0,"New York, NY 10035","2117 5th AveNew York, NY 10035",,New York,New York County
,Condo for sale,1950000,3,3.0,1300.0,"Manhattan, NY 10028","300 E 85th St Unit 1103/1104Manhattan, NY 10028",,New York County,New York
"Brokered by Listwithfreedom.Com, Inc.",Co-op for sale,600000,2,2.0,900.0,"New York, NY 10033","736 W 186th St Apt 7GNew York, NY 10033",New York,New York County,New York
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,3200000,3,2.3738608579684373,3735.0,"New York, NY 10035","2117 5th AveNew York, NY 10035",,New York,New York County
,Condo for sale,569000,1,1.0,739.0,"Brooklyn, NY 11223","390 Kings Hwy Apt 5DBrooklyn, NY 11223",,Kings County,Brooklyn
,Co-op for sale,749000,1,1.0,2184.207862,"Manhattan, NY 10012","57 Thompson St Apt 2BManhattan, NY 10012",New York,New York County,New York
,House for sale,2488000,4,2.3738608579684373,3850.0,"Brooklyn, NY 11235","232 Beaumont StBrooklyn, NY 11235",,New York,Kings County
,Multi-family home for sale,1138000,5,3.0,1026.0,"Brooklyn, NY 11219","1520 63rd StBrooklyn, NY 11219",,New York,Kings County
Brokered by City Homes Realty Group Llc,Multi-family home for sale,1359000,11,6.0,2240.0,"Brooklyn, NY 11221","1353 Putnam AveBrooklyn, NY 11221",,New York,Kings County
,Multi-family home for sale,3720000,8,8.0,5500.0,"Manhattan, NY 10002","29 Essex StManhattan, NY 10002",,New York,New York County
,Multi-family home for sale,974998,7,2.0,2184.207862,"Brooklyn, NY 11208","759 Glenmore AveBrooklyn, NY 11208",,New York,Kings County
,Co-op for sale,300000,3,1.0,600.0,"Brooklyn, NY 11218","599 E 7th St Apt 4GBrooklyn, NY 11218",,Kings County,Brooklyn
Brokered by Getmore Realty Inc,House for sale,729000,3,3.0,2184.207862,"Saint Albans, NY 11412","110-36 199th StSaint Albans, NY 11412",,New York,Queens County
,Co-op for sale,750000,2,2.0,2184.207862,"New York, NY 10065","575 Park Ave # 1508New York, NY 10065",New York,New York County,New York
Brokered by Coldwell Banker American Homes,Co-op for sale,225000,1,1.0,2184.207862,"Whitestone, NY 11357","160-30 Cross Island Pkwy Unit 619Whitestone, NY 11357",,Na,Queens
Brokered by DiTommaso Real Estate,House for sale,599000,3,2.0,1120.0,"Staten Island, NY 10314","45 Bogota StStaten Island, NY 10314",United States,New York,Richmond County
,Townhouse for sale,11950000,6,5.0,5336.0,"New York, NY 10021","27 E 73rd StNew York, NY 10021",,New York,New York County
Brokered by Corcoran West Side,Co-op for sale,825000,1,2.0,1100.0,"New York, NY 10128","180 E End Ave Apt 18HNew York, NY 10128",New York,New York County,New York
,House for sale,800000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11221","742 Lexington AveBrooklyn, NY 11221",,New York,Kings County
,Co-op for sale,289000,3,1.0,2184.207862,"Brooklyn, NY 11218","36 Dahill Rd Apt 1LBrooklyn, NY 11218",New York,Kings County,Brooklyn
,Condo for sale,4750000,4,4.0,4100.0,"New York, NY 10011","116 W 14th St Fl 4New York, NY 10011",,New York County,New York
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,899999,2,1.0,2184.207862,"New York, NY 10003","224 E 11th St Apt 22New York, NY 10003",New York,-,New York
,Townhouse for sale,868000,2,2.0,1152.0,"Middle Village, NY 11379","58-36 79th StMiddle Village, NY 11379",,New York,Queens County
,Condo for sale,3995000,3,3.0,1637.0,"Manhattan, NY 10011","450 W 17th St Apt 1709Manhattan, NY 10011",,New York County,New York
,House for sale,1500000,3,2.0,1240.0,"Brooklyn, NY 11214","243 Bay 13 StBrooklyn, NY 11214",,New York,Kings County
Brokered by SOUTHSIDE REALTY GROUP LLC,House for sale,625000,4,2.0,2184.207862,"Brooklyn, NY 11234","1797 Troy AveBrooklyn, NY 11234",,New York,Kings County
,Pending,749000,1,1.0,2184.207862,"Manhattan, NY 10014","88 Charles St Apt 3DManhattan, NY 10014",New York,New York County,New York
Brokered by Exp Realty,House for sale,520000,3,2.3738608579684373,1705.0,"Bronx, NY 10457","503 E 182nd StBronx, NY 10457",United States,New York,Bronx County
Brokered by EXP Realty - HAUPPAUGE,Multi-family home for sale,749900,5,2.0,1400.0,"Brooklyn, NY 11208","159 Montauk AveBrooklyn, NY 11208",,New York,Kings County
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,799000,6,4.0,2310.0,"Bronx, NY 10466","669 E 237th StBronx, NY 10466",,New York,Bronx County
,Co-op for sale,959000,3,4.0,1993.0,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 11VFloral Park, NY 11005",New York,Na,Queens
Brokered by Mitra Hakimi Realty Group LLC,Multi-family home for sale,888000,5,3.0,2980.0,"East Flatbush, NY 11203","228 E 89th StEast Flatbush, NY 11203",,,Kings County
"Brokered by Prime Time Real Estate, Inc.",House for sale,725000,2,2.0,988.0,"Staten Island, NY 10306","51 Bedford AveStaten Island, NY 10306",,New York,Richmond County
Brokered by Brown Harris Stevens - 445 Park Avenue,Condop for sale,1065000,2,2.0,2184.207862,"Manhattan, NY 10128","215 E 96th St Unit 25CManhattan, NY 10128",New York County,New York,Manhattan
,Townhouse for sale,19995000,7,6.0,8200.0,"New York, NY 10028","14 E 81st StNew York, NY 10028",,New York,New York County
,Condo for sale,744000,2,1.0,890.0,"Queens, NY 11106","32-86 33rd St Unit D7Queens, NY 11106",New York,Queens County,Queens
,Pending,675000,3,0.0,2780.0,"Manhattan, NY 10007","41 Warren St Unit SubcManhattan, NY 10007",,New York County,New York
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4595000,4,4.0,3052.0,"New York, NY 10009","619 E 6th St Unit 1New York, NY 10009",,New York County,New York
,Co-op for sale,475000,1,1.0,2184.207862,"Brooklyn, NY 11238","213 Eastern Pkwy Apt 2Brooklyn, NY 11238",,Kings County,Brooklyn
Brokered by Progress Realty Inc.,Co-op for sale,189000,2,1.0,800.0,"Bronx, NY 10462","756 Brady Ave Apt 307Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by First Class Realty Enterprises,House for sale,998888,4,3.0,2184.207862,"Jamaica, NY 11436","115-04 144th StJamaica, NY 11436",United States,New York,Queens County
Brokered by COMPASS,Pending,675000,3,0.0,2780.0,"Manhattan, NY 10007","41 Warren St Unit SubcManhattan, NY 10007",,New York County,New York
Brokered by COMPASS,Pending,4500000,1,2.3738608579684373,5400.0,"Brooklyn, NY 11222","129 Russell St Unit CommercialBrooklyn, NY 11222",,New York,Kings County
Brokered by Reserve,Co-op for sale,32000000,4,6.0,7500.0,"New York, NY 10012","383 W BroadwayNew York, NY 10012",United States,New York,New York County
,Multi-family home for sale,3250000,6,4.0,3059.0,"Brooklyn, NY 11238","68 Clifton PlBrooklyn, NY 11238",,New York,Kings County
,Multi-family home for sale,769000,7,2.0,2100.0,"Staten Island, NY 10304","222 Gordon StStaten Island, NY 10304",,New York,Richmond County
Brokered by Exp Realty,House for sale,0,3,2.0,1296.0,"Bronx, NY 10469","1361 Waring AveBronx, NY 10469",,New York,Bronx County
Brokered by TOP NEST INC,House for sale,1699900,7,5.0,2418.0,"Brooklyn, NY 11207","186 Covert StBrooklyn, NY 11207",,New York,Kings County
Brokered by Corcoran Brooklyn Heights,Pending,3250000,8,5.0,2184.207862,"Brooklyn, NY 11218","1123 Albemarle RdBrooklyn, NY 11218",,New York,Kings County
,Co-op for sale,395250,1,1.0,650.0,"Astoria, NY 11106","31-85 Crescent St Unit 410Astoria, NY 11106",,Na,Queens
,House for sale,539000,3,2.0,972.0,"Staten Island, NY 10305","84 Nautilus StStaten Island, NY 10305",,New York,Richmond County
,Townhouse for sale,1348000,5,2.0,2184.207862,"Queens, NY 11368","46-03 104 StQueens, NY 11368",United States,New York,Queens County
,Condo for sale,1450000,3,3.0,1855.0,"Flushing, NY 11354","40-26 College Point Blvd Unit 18FFlushing, NY 11354",New York,Queens County,Queens
,Co-op for sale,465000,2,1.0,2184.207862,"Jackson Heights, NY 11372","37-50 87th St Unit 6BJackson Heights, NY 11372",United States,New York,Queens County
,Condo for sale,6500000,2,2.0,1639.0,"New York, NY 10019","1600 Broadway Ph 4CNew York, NY 10019",New York,New York County,New York
,Co-op for sale,297000,1,1.0,800.0,"Forest Hills, NY 11375","102-36 64 Ave Unit 4AForest Hills, NY 11375",,Queens County,Queens
,Co-op for sale,244900,1,1.0,518.0,"Glen Oaks, NY 11004","260-46 73rd Ave Unit A1Glen Oaks, NY 11004",,Queens County,Queens
,House for sale,2480000,4,4.0,5150.0,"Whitestone, NY 11357","149-37 9th AveWhitestone, NY 11357",,New York,Queens County
,Co-op for sale,230000,1,1.0,2184.207862,"Forest Hills, NY 11375","108-50 62 Dr Unit 3KForest Hills, NY 11375",,Queens County,Queens
Brokered by Corcoran Brooklyn Heights,Condo for sale,780000,2,2.0,825.0,"Brooklyn, NY 11230","618 Avenue H # 5EBrooklyn, NY 11230",,New York,Kings County
Brokered by Corcoran Chelsea/Flatiron,Townhouse for sale,4875000,3,3.0,2184.207862,"New York, NY 10016","130 E 38th StNew York, NY 10016",United States,New York,New York County
,Co-op for sale,539999,3,2.0,2184.207862,"Jackson Heights, NY 11372","33-04 93rd St Unit 6SJackson Heights, NY 11372",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,750000,2,2.0,1193.0,"Bronx, NY 10463","2621 Palisade Ave Apt 16ABronx, NY 10463",New York,Bronx County,The Bronx
,Condo for sale,2249000,2,3.0,2321.0,"New York, NY 10016","211 Madison Ave Unit 22ANew York, NY 10016",,New York County,New York
Brokered by Tapestry Real Estate of Queens,Co-op for sale,270000,2,1.0,700.0,"Astoria, NY 11101","21-78 35 St Unit 5FAstoria, NY 11101",New York,Queens County,Queens
,Pending,399000,2,1.0,2184.207862,"New York, NY 10065","301 E 63rd St Apt 4BNew York, NY 10065",,New York County,New York
,Co-op for sale,1950000,2,2.0,2184.207862,"Manhattan, NY 10014","56 Jane St Unit 4EFManhattan, NY 10014",,New York County,New York
Brokered by Macaluso Realty,Co-op for sale,240000,2,1.0,2184.207862,"Woodhaven, NY 11421","83-85 Woodhaven Blvd Unit 2SWoodhaven, NY 11421",New York,Queens County,Queens
Brokered by Century Homes Realty Group LLC,Condo for sale,628000,3,2.0,900.0,"Elmhurst, NY 11373","82-25 Queens Blvd Unit 3DElmhurst, NY 11373",New York,Queens County,Queens
,Co-op for sale,399000,2,1.0,2184.207862,"Jackson Heights, NY 11372","34-10 94th St Unit 2DJackson Heights, NY 11372",New York,Queens County,Queens
Brokered by J Home Realty LLC,House for sale,687000,2,1.0,2184.207862,"Bronx, NY 10465","57 Shore DrBronx, NY 10465",,New York,Bronx County
,Townhouse for sale,588000,2,2.0,2000.0,"Staten Island, NY 10314","19 Teri CtStaten Island, NY 10314",United States,New York,Richmond County
,Multi-family home for sale,825000,5,3.0,2184.207862,"Bronx, NY 10472","1221 Manor AveBronx, NY 10472",United States,New York,Bronx County
,Co-op for sale,240000,2,1.0,2184.207862,"Woodhaven, NY 11421","83-85 Woodhaven Blvd Unit 2SWoodhaven, NY 11421",,Queens County,Queens
Brokered by Han Tang Realty Inc.,Condo for sale,285000,2,1.0,835.0,"Bronx, NY 10462","1527 Metropolitan Ave Apt 4GBronx, NY 10462",,Bronx County,The Bronx
Brokered by COMPASS,Condo for sale,595000,3,1.0,915.0,"Brooklyn, NY 11205","609 Myrtle Ave Unit CF1Brooklyn, NY 11205",,Kings County,Brooklyn
,Condo for sale,899000,2,2.0,1697.0,"Staten Island, NY 10301","90 Bay Street Lndg Apt 5IStaten Island, NY 10301",,Richmond County,Staten Island
,Townhouse for sale,2995000,5,2.0,4900.0,"New York, NY 10030","234 W 138th StNew York, NY 10030",,New York,New York County
Brokered by E Realty International Corp,House for sale,1180000,4,3.0,2184.207862,"Fresh Meadows, NY 11366","73-27 193rd StFresh Meadows, NY 11366",United States,New York,Queens County
,Contingent,799900,4,4.0,1816.0,"Staten Island, NY 10308","71 Dewey AveStaten Island, NY 10308",,New York,Richmond County
"Brokered by Virginia Rallis, Realty LLC",Co-op for sale,130000,1,1.0,2184.207862,"Bronx, NY 10468","5 Fordham Hill Oval Apt 11HBronx, NY 10468",New York,Bronx County,The Bronx
,House for sale,849999,3,2.0,2184.207862,"Flushing, NY 11367","147-20 76th RdFlushing, NY 11367",United States,New York,Queens County
,Co-op for sale,185000,1,1.0,850.0,"Bronx, NY 10463","3123 Bailey Ave Unit ABronx, NY 10463",,New York,Bronx County
,House for sale,1275000,4,2.3738608579684373,2184.207862,"Floral Park, NY 11001","87-66 257th StFloral Park, NY 11001",,New York,Queens County
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,2798000,5,3.0,3400.0,"Brooklyn, NY 11215","1603 11th AveBrooklyn, NY 11215",,New York,Kings County
Brokered by Getmore Realty Inc,Co-op for sale,359000,2,1.0,950.0,"Flushing, NY 11354","141-09 28 Ave Unit 1DFlushing, NY 11354",New York,Queens County,Queens
,Pending,435000,1,1.0,2184.207862,"Brooklyn, NY 11201","155 Hicks St Unit 5ABrooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by E Realty International Corp,House for sale,988000,3,1.0,1296.0,"Flushing, NY 11355","43-64 Bowne StFlushing, NY 11355",,New York,Queens County
Brokered by COMPASS,Co-op for sale,800000,1,1.0,2184.207862,"Manhattan, NY 10017","324 E 41st St Unit 1101CManhattan, NY 10017",,New York County,New York
,Co-op for sale,400000,2,1.0,2184.207862,"Jackson Heights, NY 11372","34-49 81st St Unit 5YJackson Heights, NY 11372",,Queens County,Queens
,Multi-family home for sale,965000,5,3.0,3520.0,"Bronx, NY 10472","1027 Ward AveBronx, NY 10472",United States,New York,Bronx County
Brokered by BERGEN BASIN REALTY,Multi-family home for sale,1389000,5,2.0,2412.0,"Brooklyn, NY 11234","3824 Quentin RdBrooklyn, NY 11234",,New York,Kings County
,Condo for sale,525000,3,2.0,1185.0,"Bronx, NY 10473","170 Mermaid Ln Unit 270Bronx, NY 10473",New York,Bronx County,The Bronx
,House for sale,849999,3,2.0,2184.207862,"Flushing, NY 11367","147-20 76th RdFlushing, NY 11367",United States,New York,Queens County
,Pending,289000,1,2.0,1213.0,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 1OFloral Park, NY 11005",,Queens County,Queens
Brokered by Corcoran East Side,Multi-family home for sale,10000000,7,8.0,2184.207862,"New York, NY 10011","35 W 11th StNew York, NY 10011",,New York,New York County
,Co-op for sale,279000,2,1.0,2184.207862,"Bayside, NY 11364","73-22 220th St Unit UpperBayside, NY 11364",United States,New York,Queens County
,Townhouse for sale,15995000,5,2.3738608579684373,2184.207862,"New York, NY 10014","65 Bedford StNew York, NY 10014",,New York,New York County
Brokered by RITZ REALTY NY CORP.,Multi-family home for sale,1850000,3,4.0,2184.207862,"Brooklyn, NY 11204","6704 21st AveBrooklyn, NY 11204",United States,New York,Kings County
,Multi-family home for sale,2599000,11,6.0,5088.0,"Astoria, NY 11105","2061 49th StAstoria, NY 11105",,New York,Queens County
,Co-op for sale,250000,1,1.0,800.0,"Brooklyn, NY 11230","1250 Ocean Pkwy Apt 3JBrooklyn, NY 11230",,Kings County,Brooklyn
Brokered by Corcoran Park Slope,Co-op for sale,2250000,3,2.0,2000.0,"Brooklyn, NY 11215","120 Prospect Park W # 2Brooklyn, NY 11215",United States,New York,Kings County
,Multi-family home for sale,1800000,9,7.0,2184.207862,"Astoria, NY 11105","23-16 36th StAstoria, NY 11105",,New York,Queens County
,Co-op for sale,350000,3,2.0,1100.0,"Brooklyn, NY 11234","1200 E 53rd St Apt 4XBrooklyn, NY 11234",New York,Kings County,Brooklyn
,House for sale,1649000,4,3.0,1452.0,"Brooklyn, NY 11237","927 Hart StBrooklyn, NY 11237",United States,New York,Kings County
,Pending,1395000,2,2.0,1028.0,"Brooklyn, NY 11215","357 6th Ave Apt 1Brooklyn, NY 11215",New York,Kings County,Brooklyn
,House for sale,1370000,6,3.0,2184.207862,"Jamaica, NY 11432","85-65 159th StJamaica, NY 11432",,New York,Queens County
,Co-op for sale,360000,2,1.0,2184.207862,"New York, NY 10030","128 W 138th Unit 1INew York, NY 10030",New York,New York County,New York
,Co-op for sale,1050000,1,1.0,2184.207862,"New York, NY 10003","1 Fifth Ave Unit 10KNew York, NY 10003",,New York,Manhattan
Brokered by COMPASS,Condo for sale,2200000,2,2.0,1308.0,"Manhattan, NY 10021","32 E 76th St Apt 805Manhattan, NY 10021",,New York County,New York
,House for sale,650000,3,2.3738608579684373,1218.0,"Staten Island, NY 10304","23 Jackson StStaten Island, NY 10304",United States,New York,Richmond County
,House for sale,345000,3,2.3738608579684373,2184.207862,"Queens, NY 11412","183-12 Elmira AveQueens, NY 11412",,New York,Queens County
Brokered by COMPASS,Townhouse for sale,7850000,5,4.0,6060.0,"Manhattan, NY 10003","128 E 19th StManhattan, NY 10003",,New York,New York County
,Multi-family home for sale,4999000,8,5.0,4120.0,"Manhattan, NY 10019","458 W 51st StManhattan, NY 10019",,New York,New York County
,House for sale,4900000,4,2.3738608579684373,3100.0,"New York, NY 10075","157 E 78th StNew York, NY 10075",United States,New York,New York County
,Pending,299000,3,1.0,2184.207862,"New York, NY 10019","465 W 57th St Apt 3BNew York, NY 10019",New York,New York County,New York
Brokered by EXIT REALTY FIRST CHOICE,House for sale,1578000,5,3.0,2152.0,"Fresh Meadows, NY 11365","67-27 181st StFresh Meadows, NY 11365",United States,New York,Queens County
Brokered by Skylight Real Estate Consultan,House for sale,715000,3,2.0,2184.207862,"Saint Albans, NY 11412","194-11 112th AveSaint Albans, NY 11412",,New York,Queens County
,Co-op for sale,225000,1,1.0,2184.207862,"Whitestone, NY 11357","160-30 Cross Island Pkwy Unit 619Whitestone, NY 11357",New York,Queens County,Queens
,Townhouse for sale,600000,3,1.0,2184.207862,"Brooklyn, NY 11233","40 Somers St Unit 2Brooklyn, NY 11233",,Kings County,Brooklyn
,House for sale,850000,3,2.0,1090.0,"Staten Island, NY 10304","101 Dalemere RdStaten Island, NY 10304",,New York,Richmond County
Brokered by Serhant,Condo for sale,1949000,2,2.0,1288.0,"New York, NY 10009","277 E 7th St Apt 2New York, NY 10009",New York,New York County,New York
"Brokered by NEUHAUS REALTY, INC.",Multi-family home for sale,1599999,5,4.0,3773.0,"Staten Island, NY 10312","160 Rathbun Ave Unit AStaten Island, NY 10312",,New York,Richmond County
,House for sale,640000,3,2.0,1110.0,"Staten Island, NY 10308","58 Elmwood AveStaten Island, NY 10308",United States,New York,Richmond County
,Contingent,799900,3,4.0,3510.0,"Staten Island, NY 10301","59 Park PlStaten Island, NY 10301",,Na,Richmond County
,Pending,1599000,6,4.0,3690.0,"Jackson Heights, NY 11372","33-17 85th StJackson Heights, NY 11372",,New York,Queens County
,Contingent,695000,3,1.0,650.0,"New York, NY 10003","217 E 5th St Apt 8New York, NY 10003",New York,New York County,New York
,Contingent,740000,3,2.0,1976.0,"Staten Island, NY 10305","391 Fingerboard RdStaten Island, NY 10305",United States,New York,Richmond County
,Co-op for sale,329000,1,1.0,764.0,"Brooklyn, NY 11209","9902 3rd Ave Apt 2EBrooklyn, NY 11209",,Kings County,Brooklyn
,Multi-family home for sale,750000,4,2.0,2340.0,"Bronx, NY 10466","4325 Boyd AveBronx, NY 10466",,New York,Bronx County
,House for sale,1450000,4,4.0,1746.0,"Brooklyn, NY 11209","227 90th StBrooklyn, NY 11209",United States,New York,Kings County
,Condo for sale,1999999,3,3.0,1800.0,"Brooklyn, NY 11235","70 Oceana Dr W Ph 1DBrooklyn, NY 11235",,Kings County,Brooklyn
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,899888,4,2.0,2185.0,"Staten Island, NY 10314","467 Maine AveStaten Island, NY 10314",United States,New York,Richmond County
Brokered by WRL Realty LLC,Co-op for sale,0,2,1.0,900.0,"Flushing, NY 11367","78-16 Main St Unit 1KFlushing, NY 11367",,Queens County,Queens
,Multi-family home for sale,879000,4,2.0,1824.0,"Staten Island, NY 10308","11 Edgewood RdStaten Island, NY 10308",,New York,Richmond County
Brokered by Corcoran East Side,Co-op for sale,1030000,2,2.0,1077.0,"New York, NY 10128","217 E 96th St Apt 29CNew York, NY 10128",,New York County,New York
,Co-op for sale,699999,1,2.0,2184.207862,"New York, NY 10024","11 W 81st St Unit 1CNew York, NY 10024",,New York County,New York
Brokered by EXP Realty,Co-op for sale,388000,2,1.0,2184.207862,"Forest Hills, NY 11375","67-66 108th St Units B & 65Forest Hills, NY 11375",,New York,Queens County
,Condo for sale,1750000,1,1.0,937.0,"Manhattan, NY 10003","114 E 13th St Apt 3DManhattan, NY 10003",New York,New York County,New York
Brokered by Living NY - Main Office,Co-op for sale,995000,1,1.0,2184.207862,"Brooklyn, NY 11249","111 N 9th St Apt 2LBrooklyn, NY 11249",,Kings County,Brooklyn
,House for sale,0,5,4.0,2184.207862,"Jamaica, NY 11436","145-37 115th AveJamaica, NY 11436",,New York,Queens County
,Co-op for sale,300000,1,1.0,2184.207862,"Manhattan, NY 10026","209 W 118th St Apt 2FManhattan, NY 10026",,New York County,New York
Brokered by Winzone Realty Inc,Co-op for sale,389000,1,1.0,900.0,"Elmhurst, NY 11373","44-10 Ketcham St Unit 5BElmhurst, NY 11373",New York,Queens County,Queens
,Co-op for sale,875000,1,2.0,2184.207862,"New York, NY 10021","750 Park Ave Apt 9BNew York, NY 10021",,New York County,New York
,Condo for sale,3000000,3,3.0,2100.0,"Manhattan, NY 10022","418 E 59th St # BManhattan, NY 10022",,New York,New York County
,Multi-family home for sale,850000,3,2.0,2194.0,"Bronx, NY 10465","1626 Research AveBronx, NY 10465",United States,New York,Bronx County
Brokered by Coldwell Banker Warburg,Townhouse for sale,3595000,5,4.0,4675.0,"New York, NY 10031","549 W 149th StNew York, NY 10031",United States,New York,New York County
,House for sale,925000,3,2.0,2184.207862,"Woodside, NY 11377","50-02 60th StWoodside, NY 11377",United States,New York,Queens County
,House for sale,799000,5,3.0,2184.207862,"Queens Village, NY 11429","112-20 210th StQueens Village, NY 11429",United States,New York,Queens County
,Pending,1399000,4,2.0,1800.0,"Bayside, NY 11361","35-12 213th StBayside, NY 11361",United States,New York,Queens County
